trade_date,open,high,low,close,volume
2023-07-18,1594.206071343412,1595.0613025103323,1582.6374605048584,1584.2927466343813,14738
2023-07-19,1577.1290361071685,1589.0746843418915,1576.0163159867673,1584.4766673154393,12483
2023-07-20,1589.0654883078387,1608.3679637848852,1583.5570639101488,1585.3962707207297,16693
2023-07-21,1592.6427455544185,1629.9970358773164,1587.2354775313106,1628.8935117909678,39377
2023-07-24,1609.7841530290323,1628.7555712801743,1609.7841530290323,1628.7555712801743,19713
2023-07-25,1655.2861295228038,1681.844275867592,1655.2769334887507,1681.540806743846,43086
2023-07-26,1681.540806743846,1688.382656079207,1669.1537488745835,1681.540806743846,19611
2023-07-27,1688.3918521132598,1705.6712000986672,1681.6787472546396,1690.2586470259994,20340
2023-07-28,1684.713438492098,1747.2464700518483,1681.044220904989,1744.487659835977,39018
2023-07-31,1754.6032972941719,1779.4325892370139,1723.3367815142967,1729.3877719211077,45379
2023-08-01,1727.0243911695113,1753.637713718617,1726.9140387608766,1737.1308325936534,19231
2023-08-02,1731.981053524027,1738.0504359989438,1716.7156369962054,1728.8544019460394,18509
2023-08-03,1719.658367893135,1738.0504359989438,1701.7261014899711,1727.4474087359451,21543
2023-08-04,1736.0457005754106,1753.242284254342,1730.6936087566203,1741.2414598153018,24574
2023-08-07,1729.7280251810653,1745.4072632412674,1720.605559400584,1736.1468569499928,23892
2023-08-08,1728.881990048198,1741.4621646325716,1714.2143157338155,1738.0504359989438,17736
2023-08-09,1738.0504359989438,1751.8444870783005,1731.5764280256992,1738.307924952425,18523
2023-08-10,1730.6936087566203,1737.1308325936534,1712.5774216723985,1724.2563849195872,18436
2023-08-11,1733.4524189724916,1733.8202603346078,1686.4422928940442,1686.552645302679,26786
2023-08-14,1664.4821635757082,1678.257822586959,1651.607715901642,1658.044939738675,23731
2023-08-15,1663.5625601704178,1671.8389908180318,1656.214928962147,1667.2225817234737,14818
2023-08-16,1662.2567233349052,1676.7588690363355,1660.8037499545464,1673.6781976286127,13184
